Title,Url,Category,Views,Activity,Replies,Content,
,,,,,,badevguru,
Connecting a hydrophone,https://forum.openrov.com/t/connecting-a-hydrophone/2475,OpenROV 2.5 - 2.8,733,Mar '15,0,Connecting a hydrophone - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Henning_Roth,"Can someone tell me if or how I can connect a Hydrophone to the OpenROV. Is there a way<br>
to feed audio in so I can listen on my laptop.thanks"
Update BeagleBone from 2.5 to 2.5.1,https://forum.openrov.com/t/update-beaglebone-from-2-5-to-2-5-1/2417,OpenROV 2.5 - 2.8,741,Mar '15,1,Update BeagleBone from 2.5 to 2.5.1 - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,bertoliale9831,"Hello guys, Iâ€™ve got a question. I follow all the steps in this page <a href=""https://forum.openrov.com/t/instructions-burning-sd-card-image-on-windows/1341"">Instructions: Burning SD card image on windows</a> , but when I try to do the flash update, I connect the BeagleBone directly to the PC, I wait 14 minutes but  anything happened . All the 4 blue LEDS blink. What did I do wrong? Iâ€™ve got the 2.6 rov with this software version:openrov-avrdude â€ 6.0.1-1<br>
openrov-cloud9 â€ 0.7.0-2<br>
openrov-cockpit â€ 2.5.0-maint-26<br>
openrov-dtc â€ 1.4-1<br>
openrov-image â€ 2.5-16<br>
openrov-ino â€ 0.3.6-1<br>
openrov-mjpeg-streamer â€ 2.0-1<br>
openrov-nodejs â€ 0.10.17-1<br>
openrov-samba-config â€ 0.1-1thank you so much."
,,,,,,badevguru,"Did you ignore the flash image download pointed to in those instructions and instead grab the latest 2.5.1-flash image from the bottom of the product page:<a href=""http://www.openrov.com/products/2-7.html"">http://www.openrov.com/products/2-7.html</a>?"
[solved] Trouble connecting to cockpit after software update,https://forum.openrov.com/t/solved-trouble-connecting-to-cockpit-after-software-update/2270,OpenROV 2.5 - 2.8,2.0k,Mar '15,9,[solved] Trouble connecting to cockpit after software update - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Ronald_Peters,"Just downloaded 2.5.1 and burned it on to a micro-SD.   Installed the micro-SD in to the BBB SD slot.  turned on the ROV and let it boot up for about 5 minutes.   Attempted to connect to cockpit with some success.   Had telemetry, light control laser control, camera tilt control, motor control,    but   no videoâ€¦   So I disconnected and turned off the cockpit and rov.   I then attempted to reconnect and now I am unable to open the cockpit.   When I turn on the ROV I get flashing lights on the ROV and on the Topside adapter looks good.  Just no Cockpit connection.  Suggestions?"
,,,,,,badevguru,"How do you reload the software image? I was able connect and uploaded the firmware. I disconnected and now can not re-connect.On blue light (first in from the edge) pulses like a heartbeat, while the third in from the edge pulses like a strobe.  Thanks for the help,   CharlieLet me know if I can do something to make the guide more obvious for those facing connection troubles"
,,,,,,Ronald_Peters,"Ok,  my problem with making connection with 2.5.1 openrov cockpit appears to have resolved itself.  I shut everything down and walked away for about an hour.  When I came back and started everything up, there it all was.  Connection looks good, I have video and all controlls functionâ€¦  Donâ€™t know what I did right/wrong, but now itâ€™s working so Iâ€™ll take that as a good signâ€¦ <img  title="":smile:"" class=""emoji"" alt="":smile:"">"
,,,,,,Charile,"Hi Brian, I apologize for the question, but I am not a tech/software expert, so I dont know how to reload software images, or what things like terminal command prompt mean. I connected to the ROV once and everything appeared to be functional. Put simply, I now can not reconnect. I have checked all the settings and connections, and they seem to be fine. The message I get from Chrome is that the webpage is unavailable: coded ERR_CONNECTION_REFUSED. Again, I apologize for the questionâ€¦just looking for a demystified way to troubleshoot my problem.ThanksCharlie"
,,,,,,hdwebb,"Hi Charlie, I too am having the same problem so I would be interested in any responses you get for a solution. I have assembled my 2.7. I powered everything on yesterday and checked EVERYTHING out and everything functioned properly (lasers, lights, motors, IMU, everythingâ€¦) I was attaching my IMU to the body and suddenly lost connection to the unit and cannot seem to resolve it. When I power it on, the unit lights up, I get the flashing blue led from my BBB, and all three LEDâ€™s on the topside box are lit up, but the unit will not connect. Sometimes I get flashing lights, and sometimes I donâ€™t. Iâ€™ve tried checking my internet settings many times and looking for anything out of the ordinary and cant seem to find anything. Somebody help us!!!-Harry"
,,,,,,badevguru,"<a class=""mention"" href=""/u/charile"">@Charile</a>, <a class=""mention"" href=""/u/hdwebb"">@hdwebb</a>How far did you get through the troubleshooting guide?"
,,,,,,hdwebb,"I got it squared away, Thanks!!! Following your instructions, I looked for the cylon-esque LED pattern and never got it. I re-flashed the BBB with the 2.5.1-final software, and voila weâ€™re back in business. For the record it took over 8 1/2 minutes to re-flash, so you might want to let people know to wait longer than 5 minutes before restarting.I tried searching the forums for 2.7 connection problems and never found the troubleshooting information so thanks for the troubleshooting directionsâ€¦ IMMENSELY HELPFUL!!!-Harry"
,,,,,,Charile,"<a class=""mention"" href=""/u/badevguru"">@badevguru</a> Hey Brian,<br>
I just downloaded the image from the site. It does not show up as a zipped folder however, but an img.7z file. Can this image be directly written to the sd card? If not, what do i need to do to unzip this file so it can be written to the sd?Thanks for all the help, i am closeâ€¦i can feel it!Charlie"
,,,,,,Charile,"<a class=""mention"" href=""/u/badevguru"">@badevguru</a> Hey Brian,Connected! Thanks again for all of the help.Charlie"
,,,,,,badevguru,
[solved] Connecting to wrong OpenROV unit?,https://forum.openrov.com/t/solved-connecting-to-wrong-openrov-unit/2371,OpenROV 2.5 - 2.8,906,Feb '15,3,[solved] Connecting to wrong OpenROV unit? - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Paul_S,"A bit of an odd situation, we just finished, and are testing two of the new 2.7 units. When trying to use two 2.7 units simultaneously, our laptops have been able to connect to an OpenROV that they were not physically connected to. When it first happened, I thought it must have been our local wi-fi network allowing us to do it over the network, but then it got really weird when we disabled the wireless network adapters on BOTH computers and it could still happen.I thought it may have been possible through perhaps the bluetooth adapters, but we disabled all communications devices besides the ethernet adapters, and it still did it! To make matters even more weird, it did it again in the field, where there wasnâ€™t any wi-fi networks, and we still disabled the wi-fi adapters.Is there a wi-fi adapter inside the new 2,7 units, or in the tenda/homeplug that I am unaware of or something? This is very strange."
,,,,,,badevguru,
,,,,,,Paul_S,Ah! I thought it may have been something like that! I never had that issue with the 2.6â€™s.
,,,,,,badevguru,
Controller Board 2.6 using with Afro 12Amp ESC,https://forum.openrov.com/t/controller-board-2-6-using-with-afro-12amp-esc/2368,OpenROV 2.5 - 2.8,1.3k,Feb '15,3,Controller Board 2.6 using with Afro 12Amp ESC - OpenROV 2.5 - 2.8 - OpenROV Forums,
,,,,,,,
,,,,,,Henk_the_Knife,"Hello,<br>
I use the 2.6 Controllerboard and want  fit the Afro ESC on it.<br>
On the 2.7 Board the capacitor are already on it.<br>
How must i connect it to Version 2.6Thanks"
